,Conc,E2F-1,FOXO1a,Cyclin-E1,Cyclin-D1
106,0.1,2.935890505151408,3.171752773733352,2.2489780958926535,2.5357471706042007
107,0.1,3.4947860888267845,3.6193432912000807,2.2578417045857937,2.8291190779837723
108,0.1,3.413351239179581,3.440731079265764,2.3882042543182207,2.8690362432286074
109,0.1,3.865111499187021,3.902588521758705,2.718382926720443,2.881191720971036
110,0.1,3.003110111594742,3.259743634493467,2.216253016453574,2.4374968861298205
111,0.1,3.4729405102244715,3.4529961698124993,2.379220282494868,2.897972740071448
112,0.1,2.5460661587842734,3.319112308106287,2.1951382785109965,2.5609951832781808
113,0.1,3.7201281158062214,3.9562850113650754,2.5914530711221535,2.939119217999693
114,0.1,3.266218992331799,3.7121852801275548,2.2597634547311873,2.9005211529681088
115,0.1,3.677222486719939,3.671814272714962,2.264026403147981,2.6720978579357175
116,0.1,3.3233480263626927,3.2856891524990726,2.235387025680829,2.649837025569946
117,0.1,3.8279136094435735,3.702812874685596,2.614245285239856,2.6429331865985524
118,0.1,3.331638419622304,3.8324256223663187,2.549463076236982,2.8384347398499927
119,0.1,3.3162444728793443,3.3925824743235324,2.3337152250731408,2.802402877853944
120,0.1,3.590266554104732,3.7398058830322864,2.521651869223433,2.9058606150931374
121,0.1,3.3893695346885555,3.6064971257102822,2.370142847051102,2.711050982920077
122,0.1,3.237741236899615,3.760340819335297,2.3009105482566863,2.7758390022183534
123,0.1,3.1433652188514323,3.784774580013757,2.3019410577952044,2.9036655884371743
124,0.1,3.517044198400986,3.8734285515644893,2.421143067071665,2.7107425360219457
125,0.1,3.495964692060873,3.7902591900533276,2.3614841851257777,2.749168734613012
126,0.1,3.2960503821374183,3.5656093633160735,2.2570374575383005,2.6852812319325152
127,0.1,3.5216382806903637,3.4281017345338562,2.334948082869827,2.9205109907187827
128,0.1,3.245448999524524,3.609755399130334,2.4342270819794742,2.7441160992629587
129,0.1,3.3854405666868876,3.431649018017662,2.2978283301307276,2.8213949491692776
130,0.1,3.2929187509159545,3.562737283148029,2.2852173912155016,2.887938964142933
131,0.1,3.274369169891124,3.4864490404731456,2.3508389545825534,2.812671420647579
132,0.1,3.5175384462496027,3.110241124868348,2.251611456378157,2.989708715265823
133,0.1,3.69056799588465,3.7992128618940644,2.624315105088114,2.967900229601839
134,0.1,3.8879878114582658,3.9603617859118274,2.6620207942429026,2.841758537596832
